instance_path,m,n,seed,exact_sol,exact_time,u1_sol,u2_sol,h_rho1_sol,h_rho2_sol,h_rho2_time
dataset_D1/m_06_n_26_seed_01.txt,6,26,1,4224,0.0661806,10229,4541,4560,4234,0.0319312
dataset_D1/m_06_n_26_seed_02.txt,6,26,2,4007,0.0707165,10109,4192,4413,4046,0.0332178
dataset_D1/m_06_n_26_seed_03.txt,6,26,3,4241,0.0659605,9704,4793,4526,4251,0.0353934
dataset_D1/m_06_n_26_seed_04.txt,6,26,4,4413,0.0633386,10237,4834,4905,4463,0.0317087
dataset_D1/m_06_n_26_seed_05.txt,6,26,5,4169,0.0754019,10623,4619,4607,4174,0.0325866
dataset_D1/m_06_n_26_seed_06.txt,6,26,6,4115,0.0650211,9936,4442,4701,4138,0.0389038
dataset_D1/m_06_n_26_seed_07.txt,6,26,7,4406,0.0651652,10307,4935,4961,4434,0.0301682
dataset_D1/m_06_n_26_seed_08.txt,6,26,8,4327,0.06906,9926,4713,4588,4345,0.035214
dataset_D1/m_06_n_26_seed_09.txt,6,26,9,3884,0.0633821,9402,4472,4351,3886,0.059563
dataset_D1/m_06_n_28_seed_00.txt,6,28,0,4482,0.0789183,10919,5136,4945,4482,0.0395687
dataset_D1/m_06_n_28_seed_01.txt,6,28,1,4559,0.0735535,10536,4802,4782,4589,0.0333909
dataset_D1/m_06_n_28_seed_02.txt,6,28,2,4426,0.071292,10906,5057,4783,4426,0.0490588
dataset_D1/m_06_n_28_seed_03.txt,6,28,3,4825,0.0634294,10446,5612,5338,4868,0.0317314
dataset_D1/m_06_n_28_seed_04.txt,6,28,4,4605,0.0734493,11573,5114,4919,4627,0.0350116
dataset_D1/m_06_n_28_seed_05.txt,6,28,5,4739,0.0733329,11049,5059,5240,4766,0.037719
dataset_D1/m_06_n_28_seed_06.txt,6,28,6,4653,0.0618992,10336,5277,5003,4671,0.0351092
dataset_D1/m_06_n_28_seed_07.txt,6,28,7,4502,0.0694887,10596,4958,4808,4521,0.033861
dataset_D1/m_06_n_28_seed_08.txt,6,28,8,4360,0.073529,9532,5114,4915,4401,0.0330844
dataset_D1/m_06_n_28_seed_09.txt,6,28,9,4836,0.0705419,11212,5204,5180,4839,0.0379347
dataset_D1/m_06_n_30_seed_00.txt,6,30,0,4338,0.073682,11295,4662,4582,4338,0.0396642
dataset_D1/m_06_n_30_seed_01.txt,6,30,1,4711,0.0768977,11319,5128,5179,4720,0.0398444
dataset_D1/m_06_n_30_seed_02.txt,6,30,2,5016,0.085503,12118,5486,5319,5026,0.0387013
dataset_D1/m_06_n_30_seed_03.txt,6,30,3,5214,0.0731549,11881,6045,5913,5251,0.0355455
dataset_D1/m_06_n_30_seed_04.txt,6,30,4,4718,0.0705457,11448,5357,5051,4718,0.0369373
dataset_D1/m_06_n_30_seed_05.txt,6,30,5,5104,0.0661531,11625,6329,6066,5124,0.032711
dataset_D1/m_06_n_30_seed_06.txt,6,30,6,4579,0.0745553,11493,5172,4959,4610,0.0363001
dataset_D1/m_06_n_30_seed_07.txt,6,30,7,4944,0.072118,11564,5552,5375,4996,0.039177
dataset_D1/m_06_n_30_seed_08.txt,6,30,8,4613,0.0897384,10998,4974,4935,4620,0.0522544
dataset_D1/m_06_n_30_seed_09.txt,6,30,9,4544,0.0870062,11231,4808,4853,4560,0.0411688
dataset_D1/m_07_n_04_seed_00.txt,7,4,0,874,0.017397,1769,945,922,874,0.0119454
dataset_D1/m_07_n_04_seed_01.txt,7,4,1,807,0.01151,1495,865,856,807,0.015644
dataset_D1/m_07_n_04_seed_02.txt,7,4,2,830,0.0115933,1507,894,846,831,0.0152964
dataset_D1/m_07_n_04_seed_03.txt,7,4,3,880,0.010667,1606,946,944,880,0.0154636
dataset_D1/m_07_n_04_seed_04.txt,7,4,4,968,0.010908,2037,995,979,968,0.00974405
dataset_D1/m_07_n_04_seed_05.txt,7,4,5,908,0.0140819,1741,974,936,921,0.0173818
dataset_D1/m_07_n_04_seed_06.txt,7,4,6,898,0.0105972,1674,940,1021,898,0.0173779
dataset_D1/m_07_n_04_seed_07.txt,7,4,7,746,0.0132579,1244,823,799,746,0.0138481
dataset_D1/m_07_n_04_seed_08.txt,7,4,8,858,0.0117942,1703,931,868,858,0.0160214
dataset_D1/m_07_n_04_seed_09.txt,7,4,9,897,0.0139967,2000,935,907,897,0.01075
dataset_D1/m_07_n_06_seed_00.txt,7,6,0,1120,0.031297,2690,1142,1184,1120,0.0129557
dataset_D1/m_07_n_06_seed_01.txt,7,6,1,1250,0.0299852,2509,1373,1312,1254,0.0112383
dataset_D1/m_07_n_06_seed_02.txt,7,6,2,1161,0.031439,2338,1306,1312,1161,0.0119157
dataset_D1/m_07_n_06_seed_03.txt,7,6,3,1128,0.0261358,2588,1254,1236,1130,0.0115532
dataset_D1/m_07_n_06_seed_04.txt,7,6,4,1208,0.0242818,2466,1388,1292,1211,0.0212716
dataset_D1/m_07_n_06_seed_05.txt,7,6,5,1197,0.0346649,2539,1341,1321,1199,0.0125986
dataset_D1/m_07_n_06_seed_06.txt,7,6,6,1207,0.0299508,2745,1287,1284,1207,0.0120755
dataset_D1/m_07_n_06_seed_07.txt,7,6,7,1195,0.027601,2543,1313,1270,1195,0.0130903
dataset_D1/m_07_n_06_seed_08.txt,7,6,8,1239,0.0334875,2694,1347,1338,1241,0.0134559
dataset_D1/m_07_n_06_seed_09.txt,7,6,9,1132,0.0294127,2719,1230,1186,1132,0.0149817
dataset_D1/m_07_n_08_seed_00.txt,7,8,0,1404,0.0417194,3320,1528,1495,1404,0.0161173
dataset_D1/m_07_n_08_seed_01.txt,7,8,1,1328,0.0403796,3683,1364,1502,1331,0.0188249
dataset_D1/m_07_n_08_seed_02.txt,7,8,2,1488,0.03939,3465,1718,1647,1494,0.0147977
dataset_D1/m_07_n_08_seed_03.txt,7,8,3,1426,0.0396488,3325,1550,1546,1444,0.0206755
dataset_D1/m_07_n_08_seed_04.txt,7,8,4,1448,0.0346873,3136,1604,1555,1448,0.0165983
dataset_D1/m_07_n_08_seed_05.txt,7,8,5,1494,0.0343271,3370,1610,1627,1504,0.0159846
